cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03498__UvrABC__CDS,95.36047731374828,6.253464797156688e-19
cnv_depth__IBNLCO_03210__Small__CDS,95.20404297869919,6.607432748307666e-19
cnv_depth__IBNLCO_00322__IBNLCO_00322__gene,94.88895131839789,7.38301889552557e-19
cnv_depth__IBNLCO_03017__ftsW__gene,94.67344211797528,7.965817358477281e-19
cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,94.48573939809373,8.511152609058971e-19
cnv_depth__IBNLCO_00178__mreD__gene__promoter,94.4019720995944,8.766538636618317e-19
cnv_depth__IBNLCO_01705__IBNLCO_01705__gene,94.28079634916462,9.149726935648556e-19
cnv_depth__IBNLCO_05854__IBNLCO_05854__gene,94.23829646886925,9.288090433667437e-19
cnv_depth__IBNLCO_00083__DUF4382__CDS,94.02315363346115,1.0021607821155151e-18
cnv_depth__IBNLCO_03477__IBNLCO_03477__gene,94.00649330578023,1.008079305961194e-18
cnv_depth__IBNLCO_04633__IBNLCO_04633__gene,93.91150086511793,1.042505516527081e-18
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,93.75911287246647,1.100229295389664e-18
cnv_depth__IBNLCO_03212__IBNLCO_03212__gene__promoter,93.7489604815339,1.1041876882824223e-18
cnv_depth__IBNLCO_03188__IBNLCO_03188__gene__promoter,93.27550922275466,1.3056797254327355e-18
cnv_depth__IBNLCO_03299__3-demethylubiquinone-9__CDS,93.16768746528481,1.356532954350458e-18
cnv_depth__IBNLCO_03212__Small__CDS,93.11900966433474,1.3801419843304398e-18
cnv_depth__IBNLCO_03463__Amino__CDS__promoter,92.86737469096069,1.5089662202345385e-18
cnv_depth__IBNLCO_03296__flhF__gene,92.72471911811859,1.5873221917548537e-18
cnv_depth__IBNLCO_00074__IBNLCO_00074__gene,92.68732231068964,1.6085341012996132e-18
cnv_depth__IBNLCO_01729__IBNLCO_01729__gene,92.60890075740632,1.65394954426145e-18
cnv_depth__IBNLCO_03462__Methyltransferase__CDS,92.40734356206161,1.7767046159683436e-18
cnv_depth__IBNLCO_03602__gnl|Bakta|IBNLCO_03602__CDS,92.27185521421013,1.8643518425493917e-18
cnv_depth__IBNLCO_03283__fieF__gene__promoter,92.24008652228805,1.8855269366835805e-18
cnv_depth__IBNLCO_03400__IBNLCO_03400__gene,92.20487120911828,1.9092831753168387e-18
cnv_depth__IBNLCO_01648__ABC__CDS,92.08679333827149,1.9911657924538427e-18
cnv_depth__IBNLCO_01468__FAD-binding__CDS__promoter,92.05592926273167,2.0131472705228745e-18
cnv_depth__IBNLCO_01701__Heme-binding__CDS,91.99190027938482,2.0595332427937214e-18
cnv_depth__IBNLCO_04663__IBNLCO_04663__gene__promoter,91.89472683062105,2.1320005743107678e-18
cnv_depth__IBNLCO_03311__flagellar__CDS,91.82574204311567,2.1850033952931745e-18
cnv_depth__IBNLCO_03210__IBNLCO_03210__gene__promoter,91.65466830272808,2.322255870765076e-18
cnv_depth__IBNLCO_05799__IBNLCO_05799__gene,91.39047457226522,2.551522648873749e-18
cnv_depth__IBNLCO_00237__ferredoxin--NADP(+)__CDS__promoter,91.05141055910188,2.8795810007303112e-18
cnv_depth__IBNLCO_01698__hypothetical__CDS__promoter,91.02914521313978,2.902557710779186e-18
cnv_depth__IBNLCO_00892__IBNLCO_00892__gene__promoter,90.69174398914706,3.2742820194145043e-18
cnv_depth__IBNLCO_03287__IBNLCO_03287__gene,90.6743421286271,3.2947080249275942e-18
cnv_depth__IBNLCO_00117__Protease__CDS,90.63092386498819,3.3462342301851693e-18
cnv_depth__IBNLCO_01416__IBNLCO_01416__gene,90.62771368947408,3.35007601357731e-18
cnv_depth__IBNLCO_03097__tssM__gene,90.38166756797602,3.658179105719967e-18
cnv_depth__IBNLCO_03600__IBNLCO_03600__gene,90.16796121935029,3.948921813969195e-18
cnv_depth__IBNLCO_04774__gnl|Bakta|IBNLCO_04774__CDS__promoter,90.02997854991223,4.148929014837222e-18
cnv_depth__IBNLCO_03456__hypothetical__CDS__promoter,89.92021772345872,4.315308289132083e-18
cnv_depth__IBNLCO_04747__P9__gene__promoter,89.71848122265709,4.638878338108866e-18
cnv_depth__IBNLCO_03343__IBNLCO_03343__gene,89.55918143517468,4.9116080908133824e-18
cnv_depth__IBNLCO_03211__Large__CDS,89.55281232392097,4.922842738647622e-18
cnv_depth__IBNLCO_03198__Large__CDS__promoter,89.38024933540838,5.2373062179420774e-18
cnv_depth__IBNLCO_01490__IBNLCO_01490__gene,89.21647514191741,5.554497355575681e-18
cnv_depth__IBNLCO_00382__dsbA__gene,89.14889237298057,5.69097703563471e-18
cnv_depth__IBNLCO_01702__Short-chain__CDS__promoter,89.05422776522579,5.887858453453642e-18
cnv_depth__IBNLCO_05826__IBNLCO_05826__gene__promoter,89.0107276101243,5.9806208682680205e-18
cnv_depth__IBNLCO_00027__fliM__gene,88.93995780314934,6.134697919168366e-18
cnv_depth__IBNLCO_00206__IBNLCO_00206__gene__promoter,88.64125369242285,6.830442301233148e-18
cnv_depth__IBNLCO_04788__IBNLCO_04788__gene,88.62786427810437,6.863430912081478e-18
cnv_depth__IBNLCO_03012__Cell__CDS,88.60798179315864,6.9127139927489496e-18
cnv_depth__IBNLCO_03464__HTH__CDS,88.5960921855158,6.942355491498322e-18
cnv_depth__IBNLCO_00240__gnl|Bakta|IBNLCO_00240__CDS__promoter,88.31133009354193,7.6919308762942e-18
cnv_depth__IBNLCO_03341__IBNLCO_03341__gene,88.24530060904958,7.877103978139804e-18
cnv_depth__IBNLCO_00010__Type__CDS__promoter,88.22282010064048,7.941169813959657e-18
cnv_depth__IBNLCO_00023__lysR__gene__promoter,88.21168620690197,7.973094110752357e-18
cnv_depth__IBNLCO_03269__IBNLCO_03269__gene__promoter,88.15759315710386,8.130048865343323e-18
