feature,cluster
cnv_depth__IBNLCO_00143__IBNLCO_00143__gene,9022
cnv_depth__IBNLCO_00143__Phage__CDS__promoter,9241
cnv_depth__IBNLCO_00144__IBNLCO_00144__gene,60
cnv_depth__IBNLCO_00145__Baseplate__CDS,9486
cnv_depth__IBNLCO_00144__IBNLCO_00144__gene__promoter,8289
cnv_depth__IBNLCO_00146__IraD/Gp25-like__CDS,9541
cnv_depth__IBNLCO_00145__IBNLCO_00145__gene__promoter,8104
cnv_depth__IBNLCO_00147__Gp5/Type__CDS,8927
cnv_depth__IBNLCO_00146__IBNLCO_00146__gene__promoter,7594
cnv_depth__IBNLCO_00147__IBNLCO_00147__gene__promoter,496
cnv_depth__IBNLCO_00148__gnl|Bakta|IBNLCO_00148__CDS__promoter,496
cnv_depth__IBNLCO_00148__IBNLCO_00148__gene,8567
cnv_depth__IBNLCO_00149__IBNLCO_00149__gene,6971
cnv_depth__IBNLCO_00149__hypothetical__CDS__promoter,8587
cnv_depth__IBNLCO_00150__IBNLCO_00150__gene,60
cnv_depth__IBNLCO_00151__hypothetical__CDS,200
cnv_depth__IBNLCO_00150__Phage__CDS__promoter,200
cnv_depth__IBNLCO_00151__hypothetical__CDS__promoter,9289
cnv_depth__IBNLCO_00152__IBNLCO_00152__gene,5152
cnv_depth__IBNLCO_00153__Peptidoglycan-binding__CDS,9174
cnv_depth__IBNLCO_00152__IBNLCO_00152__gene__promoter,6768
cnv_depth__IBNLCO_00154__hypothetical__CDS,1066
cnv_depth__IBNLCO_00153__IBNLCO_00153__gene__promoter,1066
cnv_depth__IBNLCO_00154__IBNLCO_00154__gene__promoter,225
cnv_depth__IBNLCO_00155__IBNLCO_00155__gene,225
cnv_depth__IBNLCO_00155__IBNLCO_00155__gene__promoter,551
cnv_depth__IBNLCO_00156__IBNLCO_00156__gene,551
cnv_depth__IBNLCO_00157__IBNLCO_00157__gene,538
cnv_depth__IBNLCO_00156__IBNLCO_00156__gene__promoter,538
cnv_depth__IBNLCO_00158__IBNLCO_00158__gene,243
cnv_depth__IBNLCO_00157__IBNLCO_00157__gene__promoter,243
cnv_depth__IBNLCO_00158__IBNLCO_00158__gene__promoter,9036
cnv_depth__IBNLCO_00159__gnl|Bakta|IBNLCO_00159__CDS,6845
cnv_depth__IBNLCO_00160__p2__CDS,8352
cnv_depth__IBNLCO_00159__IBNLCO_00159__gene__promoter,9673
cnv_depth__IBNLCO_00160__IBNLCO_00160__gene__promoter,9255
cnv_depth__IBNLCO_00161__hypothetical__CDS,9685
cnv_depth__IBNLCO_00162__IBNLCO_00162__gene__promoter,240
cnv_depth__IBNLCO_00161__IBNLCO_00161__gene__promoter,240
cnv_depth__IBNLCO_00162__Terminase__CDS,8608
cnv_depth__IBNLCO_00163__Phage__CDS__promoter,6391
cnv_depth__IBNLCO_00163__Phage__CDS,7467
cnv_depth__IBNLCO_00164__brnT__gene__promoter,7897
cnv_depth__IBNLCO_00164__BrnT__CDS,292
cnv_depth__IBNLCO_00165__IBNLCO_00165__gene__promoter,292
cnv_depth__IBNLCO_00165__gnl|Bakta|IBNLCO_00165__CDS,6525
cnv_depth__IBNLCO_00166__hypothetical__CDS,6714
cnv_depth__IBNLCO_00166__hypothetical__CDS__promoter,9165
cnv_depth__IBNLCO_00167__IBNLCO_00167__gene,6944
cnv_depth__IBNLCO_00168__IBNLCO_00168__gene,8965
cnv_depth__IBNLCO_00167__hypothetical__CDS__promoter,7621
cnv_depth__IBNLCO_00168__ATP-binding__CDS__promoter,5928
cnv_depth__IBNLCO_00169__IBNLCO_00169__gene__promoter,5122
cnv_depth__IBNLCO_00170__hypothetical__CDS__promoter,9379
cnv_depth__IBNLCO_00169__IBNLCO_00169__gene,6064
