cnv_feature,spearman_r,p_value,p_value_adj,cohens_d,significant_fdr
cnv_depth__IBNLCO_03320__DNA-3-methyladenine__CDS__promoter,0.5907266630857979,3.5190859783212453e-22,,1.359997109264231,True
cnv_depth__IBNLCO_00038__IBNLCO_00038__gene,0.5907266630857979,3.5190859783212453e-22,,1.2359322703951359,True
cnv_depth__IBNLCO_01716__Methyl-accepting__CDS,-0.5904421126700533,3.7254444342454425e-22,,-1.462563134086669,True
cnv_depth__IBNLCO_03602__gnl|Bakta|IBNLCO_03602__CDS,0.5897307366306918,4.294790757433113e-22,,1.3107363101430118,True
cnv_depth__IBNLCO_00075__IBNLCO_00075__gene,0.5893039110070749,4.67656971770125e-22,,1.3609468674786342,True
cnv_depth__IBNLCO_00082__IBNLCO_00082__gene,0.5893039110070749,4.67656971770125e-22,,1.0722403791117685,True
cnv_depth__IBNLCO_04779__Glutathione__CDS,-0.5887348101755856,5.237890273224507e-22,,-1.1482724198447072,True
cnv_depth__IBNLCO_01816__Transcriptional__CDS__promoter,-0.5887348101755856,5.237890273224507e-22,,-0.2368344345052684,True
cnv_depth__IBNLCO_00634__IBNLCO_00634__gene,0.5884502597598411,5.542868524375497e-22,,1.1832878163154945,True
cnv_depth__IBNLCO_03315__IBNLCO_03315__gene,0.5881657093440965,5.865277882327169e-22,,1.1987432216367213,True
cnv_depth__IBNLCO_03323__fliD__gene,0.5880234341362243,6.033322606169069e-22,,1.0757967170072433,True
cnv_depth__IBNLCO_05625__yxjC__gene,0.5880234341362243,6.033322606169069e-22,,0.8556493506230046,True
cnv_depth__IBNLCO_04201__Multidrug__CDS,-0.5878811589283519,6.2060957735829365e-22,,-1.1056498984399419,True
cnv_depth__IBNLCO_04633__IBNLCO_04633__gene,-0.5875966085126073,6.566353363281407e-22,,-1.3324476815950732,True
cnv_depth__IBNLCO_03299__3-demethylubiquinone-9__CDS,0.587454333304735,6.754109687658367e-22,,1.316285737325208,True
cnv_depth__IBNLCO_00063__enoyl-CoA__CDS,0.5871697828889904,7.145584974797963e-22,,1.1696216519474436,True
cnv_depth__IBNLCO_03398__ATP__CDS,0.5871697828889904,7.145584974797963e-22,,1.238432063560346,True
cnv_depth__IBNLCO_02854__secD__gene,0.587027507681118,7.349598514551575e-22,,1.238291078463525,True
cnv_depth__IBNLCO_01438__5-deoxy-glucuronate__CDS__promoter,-0.587027507681118,7.349598514551575e-22,,-1.3790173787890663,True
cnv_depth__IBNLCO_00121__esaR__gene__promoter,0.5867429572653735,7.774943926171287e-22,,1.3894265787098339,True
cnv_depth__IBNLCO_03396__ATP__CDS__promoter,0.5866006820575012,7.996594901706046e-22,,1.209102365633019,True
cnv_depth__IBNLCO_00024__lrgA__gene,0.5864584068496288,8.224451321847226e-22,,1.380268531518081,True
cnv_depth__IBNLCO_00002__IBNLCO_00002__gene,0.5863161316417567,8.45868370356997e-22,,1.0900769468196154,True
cnv_depth__IBNLCO_01705__IBNLCO_01705__gene,-0.5860315812260118,8.946981521921816e-22,,-1.305779296813782,True
cnv_depth__IBNLCO_03402__ATP__CDS,0.5854624803945226,1.0008116823123694e-21,,1.2586539747998862,True
cnv_depth__IBNLCO_03027__IBNLCO_03027__gene__promoter,0.5853202051866505,1.0292157193671654e-21,,1.2253621370772945,True
cnv_depth__IBNLCO_01059__benE__gene,-0.5847511043551612,1.1509674830701913e-21,,-1.0806549969888202,True
cnv_depth__IBNLCO_02225__MBL__CDS,-0.584608829147289,1.18355201833962e-21,,-1.3549517648526672,True
cnv_depth__IBNLCO_03287__IBNLCO_03287__gene,0.5844665539394166,1.2170423986897973e-21,,1.293550771693544,True
cnv_depth__IBNLCO_03242__Phenylacetate-CoA__CDS,0.5844665539394166,1.2170423986897973e-21,,0.9123960851714789,True
cnv_depth__IBNLCO_00032__flagellar__CDS,0.5844665539394166,1.2170423986897973e-21,,0.8766976103727034,True
cnv_depth__IBNLCO_03419__Lipopolysaccharide__CDS,0.5843242787315444,1.2514633383900476e-21,,1.1324871887301162,True
cnv_depth__IBNLCO_02980__IBNLCO_02980__gene,0.584182003523672,1.286840213059235e-21,,0.8042882277201481,True
cnv_depth__IBNLCO_03701__IBNLCO_03701__gene,0.584182003523672,1.286840213059235e-21,,1.1936178108050362,True
cnv_depth__IBNLCO_00790__efflux__CDS,0.5840397283157999,1.3231990770129074e-21,,0.6977666839445541,True
cnv_depth__IBNLCO_03408__mnmG__gene,0.5836129026921828,1.4384387050366347e-21,,0.9426393013646496,True
cnv_depth__IBNLCO_03434__IBNLCO_03434__gene,0.5833283522764382,1.5206849264986401e-21,,1.2678811945381967,True
cnv_depth__unknown__unknown__rep_origin.1,0.5829015266528214,1.6527866136486238e-21,,1.2732919848117026,True
cnv_depth__IBNLCO_03435__xerC__gene,0.5827592514449489,1.6992769902540252e-21,,1.1056511438926981,True
cnv_depth__IBNLCO_03012__Cell__CDS,0.5826169762370768,1.7470513774680115e-21,,1.2878754009008313,True
cnv_depth__IBNLCO_01940__Molybdopterin__CDS__promoter,-0.5826169762370768,1.7470513774680115e-21,,-0.9827395319567416,True
cnv_depth__IBNLCO_03279__rlpA__gene,0.5819056001977152,2.0064343838643026e-21,,1.2075211866410949,True
cnv_depth__IBNLCO_03312__flagellar__CDS,0.5816210497819706,2.1204672868428588e-21,,1.186731967490294,True
cnv_depth__IBNLCO_03642__5-oxoprolinase__CDS__promoter,0.5814787745740982,2.1798474021147735e-21,,1.130548606914984,True
cnv_depth__IBNLCO_00382__dsbA__gene,0.5801982977032476,2.7932745868516484e-21,,1.2902806887551164,True
cnv_depth__IBNLCO_03212__IBNLCO_03212__gene__promoter,0.5801982977032476,2.7932745868516484e-21,,1.3218608187376593,True
cnv_depth__IBNLCO_03360__Glycine__CDS,0.579486921663886,3.2043212171335535e-21,,1.3834840384819092,True
cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,0.57849099520878,3.8811792633147226e-21,,1.291342244874781,True
cnv_depth__IBNLCO_01441__IBNLCO_01441__gene,-0.57849099520878,3.8811792633147226e-21,,-1.2348275243845197,True
cnv_depth__IBNLCO_02980__Ribonucleoside-diphosphate__CDS__promoter,0.5773527935458015,4.827633479062794e-21,,1.0944491361753268,True
cnv_depth__IBNLCO_04652__IBNLCO_04652__gene,-0.5773527935458015,4.827633479062794e-21,,-1.1412708713567996,True
cnv_depth__IBNLCO_00117__IBNLCO_00117__gene__promoter,0.5772105183379292,4.960834001727252e-21,,1.353812524946077,True
cnv_depth__IBNLCO_03125__IBNLCO_03125__gene__promoter,0.5769259679221846,5.238154022694694e-21,,1.2183376117575693,True
cnv_depth__IBNLCO_03204__Large__CDS,0.57664141750644,5.5306843213331834e-21,,1.2335465747829175,True
cnv_depth__IBNLCO_03477__IBNLCO_03477__gene,0.57664141750644,5.5306843213331834e-21,,1.324051091194225,True
cnv_depth__IBNLCO_03244__paaC__gene,0.57664141750644,5.5306843213331834e-21,,1.216181230422969,True
cnv_depth__IBNLCO_03205__Large__CDS__promoter,0.5760723166749508,6.1646909382780185e-21,,1.0786698194468465,True
cnv_depth__IBNLCO_03750__ceoB__gene,0.5759300414670785,6.334029919864235e-21,,1.078577339796861,True
